Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,,,,,,,,,,,,,,
5XA34WKX,journalArticle,1986,"Tung, Bui; Jarke, Matthias",Communications Requirements for Group Decision Support Systems,Journal of Management Information Systems,,,,,,1986,,20-Aug,,4,2,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9AJENS8,webpage,,,Community Connections � Google Fiber,,,,,https://fiber.google.com/communityconnections/,,,4/24/2016 19:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2KZXSD8E,journalArticle,1993,"Bansal, Arun; Kauffman, Robert J; Weitz, Rob R",Comparing the Modeling Performance of Regression and Neural Networks as Data Quality Varies: A Business Value Approach,Journal of Management Information Systems,,,,,,1993,,Nov-32,,1,10,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQE9PQMW,journalArticle,2007,"Choudhary, Vidyanand",Comparison of Software Quality Under Perpetual Licensing and Software as a Service,Journal of Management Information Systems,,,,,,2007,,141-165,,2,24,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV6G5FGP,journalArticle,2009,"Kollmann, Tobias; H�sel, Matthias; Breugst, Nicola",Competence of IT Professionals in E-Business Venture Teams: The Effect of Experience and Expertise on Preference Structure,Journal of Management Information Systems,,,,,,2009,,51-79,,4,25,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V4ZJ52R7,journalArticle,1997,"Seidmann, Abraham; Sundararajan, Arun",Competing in Information-Intensive Services: Analyzing the Impact of Task Consolidation and Employee Empowerment,Journal of Management Information Systems,,,,,,1997,,33-56,,2,14,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU37ZH2N,journalArticle,2013,"Geng, Xianjun; Lee, Young-Jin",Competing with Piracy: A Multichannel Sequential Search Approach,Journal of Management Information Systems,,,,,,2013,,159-184,,2,30,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJJRQ56R,journalArticle,2015,"Sacks, Michael",Competition Between Open Source and Proprietary Software: Strategies for Survival,Journal of Management Information Systems,,,,,,2015,,268-295,,3,32,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFSARACC,journalArticle,2012,"Zhao, Xia; Xue, Ling",Competitive Target Advertising and Consumer Data Sharing,Journal of Management Information Systems,,,,,,2012,,189-222,,3,29,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APTIPW3J,journalArticle,2012,"Choi, Byounggu; Lee, Jae-Nam",Complementarities and Substitutabilities Among Knowledge Sourcing Strategies and Their Impact on Firm Performance,Journal of the Association for Information Systems,,1536-9323,,http://aisel.aisnet.org/jais/vol13/iss7/3,,7/30/2012,,,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8IERIV9,webpage,2015,"Bonnie, Emily",Complete Collection of Project Management Statistics 2015,Wrike Blog,,,,https://www.wrike.com/blog/complete-collection-project-management-statistics-2015/,"Need up-to-date facts and figures for a project management report, article, or infographic? Browse this collection of project management statistics collected from studies and reports from the past five years. The data and statistics below are sorted into categories so you can quickly skim to find the information you need. Simply grab the stats you �",7/7/2015,2/24/2016 5:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H23SATPD,journalArticle,2005,"Weidong, Xia; Lee, Gwanhoo",Complexity of Information Systems Development Projects: Conceptualization and Measurement Development,Journal of Management Information Systems,,,,,,2005,,45-83,,1,22,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VZKAXJTR,journalArticle,2013,"Huang, Liqiang; Tan, Chuan-Hoo; Ke, Weiling; Wei, Kwok-Kee",Comprehension and Assessment of Product Reviews: A Review-Product Congruity Proposition,Journal of Management Information Systems,,,,,,2013,,311-343,,3,30,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVIC2Z37,journalArticle,1995,"Johansen, John; Karmarkar, Uday S; Nanda, Dhananjay; Seidmann, Abraham",Computer Integrated Manufacturing: Empirical Implications for Industrial Information Systems,Journal of Management Information Systems,,,,,,1995,,59-82,,2,12,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2V9Z4J5,journalArticle,1995,"Satzinger, John W; Olfman, Lorne",Computer Support for Group Work: Perceptions of the Usefulness of Support Scenarios and End-User Tools,Journal of Management Information Systems,,,,,,1995,,115-148,,4,11,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5ZTUX4S,journalArticle,2004,"Bhargava, Hemant K; Sundaresan, Shankar","Computing as Utility: Managing Availability, Commitment, and Pricing Through Contingent Bid Auctions",Journal of Management Information Systems,,,,,,2004,,201-227,,2,21,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ95V6R4,journalArticle,1985,"Ahn, Taesik; Grudnitski, Gary",Conceptual Perspectives on Key Factors in DSS Development: A Systems Approach,Journal of Management Information Systems,,,,,,1985,,18-32,,1,2,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI3XG42B,journalArticle,2011,"Wei, Kwok-Kee; Teo, Hock-Hai; Chan, Hock Chuan; Tan, Bernard C. Y.",Conceptualizing and Testing a Social Cognitive Model of the Digital Divide,Information Systems Research,,1047-7047,,http://www.jstor.org/stable/23015630,"The digital divide has loomed as a public policy issue for over a decade. Yet, a theoretical account for the effects of the digital divide is currently lacking. This study examines three levels of the digital divide. The digital access divide (the first-level digital divide) is the inequality of access to information technology (IT) in homes and schools. The digital capability divide (the second-level digital divide) is the inequality of the capability to exploit IT arising from the first-level digital divide and other contextual factors. The digital outcome divide (the third-level digital divide) is the inequality of outcomes (e.g., learning and productivity) of exploiting IT arising from the second-level digital divide and other contextual factors. Drawing on social cognitive theory and computer self-efficacy literature, we developed a model to show how the digital access divide affects the digital capability divide and the digital outcome divide among students. The digital access divide focuses on computer ownership and usage in homes and schools. The digital capability divide and the digital outcome divide focus on computer self-efficacy and learning outcomes, respectively. This model was tested using data collected from over 4,000 students in Singapore. The results generate insights into the relationships among the three levels of the digital divide and provide a theoretical account for the effects of the digital divide. While school computing environments help to increase computer self-efficacy for all students, these factors do not eliminate knowledge the gap between students with and without home computers. Implications for theory and practice are discussed.",2011,2/29/2016 2:05,170-187,,1,22,,Information Systems Research,,,,,,,,,,,,,JSTOR,,,,,,,,,,,,,,,,
M5I532MN,journalArticle,2006,"Kankanhalli, Atreyi; Tan, Bernard C Y; Kwok-Kee, Wei",Conflict and Performance in Global Virtual Teams,Journal of Management Information Systems,,,,,,2006,,237-274,,3,23,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUIEQVZK,journalArticle,2010,"Montoya, Mitzi M; Massey, Anne P; Khatri, Vijay",Connecting IT Services Operations to Services Marketing Practices,Journal of Management Information Systems,,,,,,2010,,65-85,,4,26,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9AK7ENK,blogPost,2016,"Kish, Dennis","Connecting public housing, at gigabit speeds",Google Fiber Blog,,,,http://googlefiberblog.blogspot.com/2016/02/connecthome-gigabit.html,,2016-02,2/19/2016 5:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2AXWH9VU,journalArticle,1996,"Mejias, Roberto J; Shepherd, Morgan M; Vogel, Douglas R; Lazaneo, Litva",Consensus and Perceived Satisfaction Levels: A Cross-Cultural Comparison of GSS and Non-GSS Outcomes within and between the United States and Mexico,Journal of Management Information Systems,,,,,,1996,,137-161,,3,13,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGWB3Q2W,journalArticle,2000,"Ryan, Sherry D; Harrison, David A",Considering Social Subsystem Costs and Benefits in Information Technology Investment Decisions: A View from the Field on Anticipated Payoffs,Journal of Management Information Systems,,,,,,2000,,Nov-40,,4,16,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94DWTBR7,journalArticle,2016,"Ellingson, Jill E.; Tews, Michael J.; Dachner, Alison M.",Constituent attachment and voluntary turnover in low-wage/low-skill service work,Journal of Applied Psychology,,0021-9010,10.1037/apl0000028,http://ezproxy.baylor.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2015-28928-001&site=ehost-live&scope=site,"This paper draws on life stage theory, ethnographic research conducted in the service sector, and evidence for secondary segmentation within the low-wage/low-skill labor force to offer evidence that social bond development with coworkers can help reduce the high rate of turnover observed in low-wage/low-skill service work. Contrary to the belief that these employees will leave before social ties can develop, constituent attachment was found to be the only significant predictor of turnover in 2 samples of front-line service workers in a casual dining, national restaurant chain after controlling for other aspects of work that can create a sense of attachment to a job, and other job attitudes, such as satisfaction and commitment. However, the effect was dependent on developmental life stage. Constituent attachment reduced turnover among workers classified as emerging adults, whereas constituent attachment did little to affect turnover among nonemerging adults. Implications of the results are discussed with respect to the value of considering segmentation in future research on turnover in the service sector and the use of life stage theory for understanding the leaving behavior of workers in different stages of adulthood. (PsycINFO Database Record (c) 2016 APA, all rights reserved). (journal abstract)",2016-01,4/5/2016 3:14,129-140,,1,101,,Journal of Applied Psychology,,,,,,,,,,,,2015-28928-001,EBSCOhost,,,,,,,,,,,,,,,,
A7Z4HN4D,journalArticle,2011,"Kohler, Clemens F; Breugelmans, Els; Dellaert, Benedict G C",Consumer Acceptance of Recommendations by Interactive Decision Aids: The Joint Role of Temporal Distance and Concrete Versus Abstract Communications,Journal of Management Information Systems,,,,,,2011,,231-260,,4,27,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G68V5F2N,journalArticle,2009,"F�ller, Johann; M�hlbacher, Hans; Matzler, Kurt; Jawecki, Gregor",Consumer Empowerment Through Internet-Based Co-creation,Journal of Management Information Systems,,,,,,2009,,71-102,,3,26,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT3KCJKR,journalArticle,2013,"Dey, Debabrata; Lahiri, Atanu; Liu, Dengpan",Consumer Learning and Time-Locked Trials of Software Products,Journal of Management Information Systems,,,,,,2013,,239-268,,2,30,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMU7HVI,journalArticle,2006,"Lopes, Alexandre B; Galletta, Dennis F",Consumer Perceptions and Willingness to Pay for Intrinsically Motivated Online Content,Journal of Management Information Systems,,,,,,2006,,203-231,,2,23,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J3AN2WII,journalArticle,2006,"Bhattacharjee, Sudip; Gopal, Ram D; Lertwachara, Kaveepan; Marsden, James R",Consumer Search and Retailer Strategies in the Presence of Online Music Sharing,Journal of Management Information Systems,,,,,,2006,,129-159,,1,23,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V43MDFK2,journalArticle,2003,"Dewan, Rajiv M; Freimer, Marshall L",Consumers Prefer Bundled Add-Ins,Journal of Management Information Systems,,,,,,2003,,99-111,,2,20,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9M69P2ZP,book,,"Emerson, Robert",Contemporary Field Research: A Collection of Readings,,978-0-88133-342-8,,,http://www.amazon.ca/exec/obidos/redirect?tag=citeulike09-20&path=ASIN/0881333425,"{During the past several years, a more fully articulated and less defensive conception of the nature of fieldwork has emerged. Within this conception two specific themes stand out: first, fieldworkers increasingly understand and carry out their craft as an interpretive enterprise; second, fieldworkers have come to devote close attention to the actual practice of doing fieldwork. The materials in this book have been assembled with an eye toward furthering and consolidating these developments. To focus on processes of interpretation and practice is to move toward a more reflective, self-conscious stance toward the fieldwork enterprise. Self-consciousness emerges with the recognition that fieldwork itself is a social phenomenon, inescapably part of the very social worlds it seeks to discover, describe, and analyze. This recognition dispels any last vestiges of the belief that the fieldworker can somehow avoid or transcend the sorts of practical concerns and personal involvements that pervade everyday social life. Once the social character of the fieldworker is stressed, one is in a position to see more clearly the variety of personal, interactional, moral, and practical processes that lie at its core.}",,5/3/2016 1:06,,,,,,,Contemporary Field Research,,,,,{Waveland Press},,,,,,,CiteULike,,,,,,,,,,,,,,,,
DV8QUBS8,journalArticle,2012,"Tang, Qian; Gu, Bin; Whinston, Andrew B",Content Contribution for Revenue Sharing and Reputation in Social Media: A Dynamic Structural Model,Journal of Management Information Systems,,,,,,2012,,41-76,,2,29,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8FGK4FFC,journalArticle,2002,"Visa, Ari; Toivonen, Jarmo; Vanharanta, Hannu; Back, Barbro",Contents Matching Defined by Prototypes: Methodology Verification with Books of the Bible,Journal of Management Information Systems,,,,,,2002,,87-100,,4,18,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHTUHQ39,journalArticle,2015,"Ozer, Muammer; Vogel, Doug",Contextualized Relationship Between Knowledge Sharing and Performance in Software Development,Journal of Management Information Systems,,,,,,2015,,134-161,,2,32,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XME654MB,journalArticle,2003,"Bhargava, Hemant K; Sundaresan, Shankar",Contingency Pricing for Information Goods and Services Under Industrywide Performance Standard,Journal of Management Information Systems,,,,,,2003,,113-136,,2,20,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA9DRX4A,journalArticle,2012,"Srivastava, Shirish C; Teo, Thompson S H",Contract Performance in Offshore Systems Development: Role of Control Mechanisms,Journal of Management Information Systems,,,,,,2012,,115-158,,1,29,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K55I4C8U,journalArticle,2009,"Tiwana, Amrit; Keil, Mark",Control in Internal and Outsourced Software Projects,Journal of Management Information Systems,,,,,,2009,,Sep-44,,3,26,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWV6EWIV,journalArticle,2009,"Harris, Michael L.; Collins, Rosann Webb; Hevner, Alan R.",Control of Flexible Software Development Under Uncertainty,Information Systems Research,,"1047-7047, 1526-5536",10.1287/isre.1090.0240,http://pubsonline.informs.org/doi/abs/10.1287/isre.1090.0240,,2009-09,11/24/2015 17:21,400-419,,3,20,,,,,,,,,,en,,,,,CrossRef,,,,,,,,,,,,,,,,
DHN89KKE,journalArticle,2001,"Avison, David; Baskerville, Richard; Myers, Michael",Controlling action research projects,Information Technology & People,,9593845,,http://search.proquest.com/docview/222359404?pq-origsite=360link&,"The process in Action Research (AR) projects, along with some of the key choices and alternatives in controlling AR, are studied.",2001,7/19/2016 19:03,28-45,,1,14,,,,,,,,,,English,Copyright MCB UP Limited (MCB) 2001,,,,ProQuest,,,,,,,,,,,,,,,,
8PQ94E3E,journalArticle,1986,"Paradice, David B; Courtney Jr, James F",Controlling Bias in User Assertions in Expert Decision Support Systems for Problem Formulation,Journal of Management Information Systems,,,,,,1986,,52-64,,1,3,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U497W37M,journalArticle,2002,"Kirsch, Laurie J.; Sambamurthy, V.; Ko, Dong-Gil; Purvis, Russell L.",Controlling Information Systems Development Projects: The View from the Client,Management Science,,0025-1909,,http://www.jstor.org/stable/822547,"Increasingly, business clients are actively leading information systems (IS) projects, often in collaboration with IS professionals, and they are exercising a greater degree of project control. Control is defined as all attempts to motivate individuals to achieve desired objectives, and it can be exercised via formal and informal modes. Much of the previous research investigating the choice of control mode has focused on direct reporting relationships between IS project leaders and their superiors in a hierarchical setting. However, the client-IS relationships may take on a variety of forms, including both hierarchical and lateral settings. Moreover, prior research has found that the knowledge of the systems development process is a key antecedent of control, yet clients are unlikely to be as knowledgeable as IS professionals about this process. It is therefore unclear whether prior findings will generalize to the client-IS pair, and the goal of this research is to examine the exercise of control across this relationship. Data were gathered from a questionnaire survey of 69 pairs of clients and IS project leaders. The results are largely consistent with prior research on the antecedents of formal control modes, but they shed new insight on the choice of informal control modes.",2002,11/19/2015 3:20,484-498,,4,48,,Management Science,Controlling Information Systems Development Projects,,,,,,,,,,,,JSTOR,,,,,,,,,,,,,,,,
AZUK4J92,journalArticle,1986,"Rozenshtein, David; Minsky, Naftaly",Controlling the Use and Evolution of Database Systems: A Prolog-based Approach,Journal of Management Information Systems,,,,,,1986,,31-May,,1,3,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGVHXEPF,journalArticle,2000,"Sack, Warren",Conversation Map: An Interface for Very Large-Scale Conversations,Journal of Management Information Systems,,,,,,2000,,73-92,,3,17,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42DXU6JH,journalArticle,2012,"Mantena, Ravi; Saha, Rajib L",Co-opetition Between Differentiated Platforms in Two-Sided Markets,Journal of Management Information Systems,,,,,,2012,,109-140,,2,29,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDE79RT6,journalArticle,2000,"Faraj, Samer; Sproull, Lee",Coordinating Expertise in Software Development Teams,Management Science,,"0025-1909, 1526-5501",10.1287/mnsc.46.12.1554.12072,http://pubsonline.informs.org/doi/abs/10.1287/mnsc.46.12.1554.12072,,2000-12,11/17/2015 12:53,1554-1568,,12,46,,,,,,,,,,en,,,,,CrossRef,,,,,,,,,,,,,,,,
N39C2H43,journalArticle,2004,"Gosain, Sanjay; Malhotra, Arvind; El Sawy, Omar A",Coordinating for Flexibility in e-Business Supply Chains,Journal of Management Information Systems,,,,,,2004,,Jul-45,,3,21,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W9DQH3UK,journalArticle,1993,"Horton, Marjorie; Biolsi, Kevin",Coordination Challenges in a Computer- Supported Meeting Environment,Journal of Management Information Systems,,,,,,1993,,24-Jul,,3,10,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEF8U8EN,journalArticle,1989,"Lederer, Albert L; Mendelow, Aubrey L",Coordination of Information Systems Plans with Business Plans,Journal of Management Information Systems,,,,,,1989,,19-May,,2,6,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I9C32JQ8,journalArticle,1994,"DeSanctis, Gerardine; Jackson, Brad M",Coordination of Information Technology Management: Team-Based Structures and Computer-Based Communication Systems,Journal of Management Information Systems,,,,,,1994,,85-110,,4,10,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ND7AQ73,journalArticle,2010,"Demirkan, Haluk; Cheng, Hsing K; Bandyopadhyay, Subhajyoti",Coordination Strategies in an SaaS Supply Chain,Journal of Management Information Systems,,,,,,2010,,119-143,,4,26,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQZV2AZ,journalArticle,1993,"Deshpand�, Rohit; Farley, John U.; Webster, Frederick E.","Corporate Culture, Customer Orientation, and Innovativeness in Japanese Firms: A Quadrad Analysis",Journal of Marketing,,0022-2429,,http://search.proquest.com.ezproxy.baylor.edu/docview/1296619907/citation/F289D1E849E3407APQ/1,,1/1/1993,2/8/2016 4:19,23�37,,1,57,,,"Corporate Culture, Customer Orientation, and Innovativeness in Japanese Firms",,,,,,,English,,,,,ProQuest,,,,,,,,,,,,,,,,
S2HDIBTN,journalArticle,2013,"Tallon, Paul P.","Corporate governance of big data: Perspectives on value, risk, and cost",Computer,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6519236,Finding data governance practices that maintain a balance between value creation and risk exposure is the new organizational imperative for unlocking competitive advantage and maximizing value from the application of big data.,2013,2/20/2016 1:19,32�38,,6,46,,,Corporate governance of big data,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,
QD6T622K,journalArticle,2012,"Arazy, Ofer; Gellatly, Ian R",Corporate Wikis: The Effects of Owners' Motivation and Behavior on Group Members' Engagement,Journal of Management Information Systems,,,,,,2012,,87-116,,3,29,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM5QA63G,journalArticle,1989,"O'Reilly, Charles","Corporations, Culture, and Commitment: Motivation and Social Control in Organizations",California Management Review,,81256,,http://search.proquest.com.ezproxy.baylor.edu/docview/215876528/abstract/EAF7DFC96EBF4E69PQ/1,"An analysis of strong corporate cultures indicates that there are 4 factors that create a strong culture and a commitment to the firm. These are: 1. systems of participation that rely on processes of increasingly stronger commitment, 2. a management style that helps employees interpret their own reasons for working, 3. information from others in the form of strong and consistent cues from fellow workers that focus attention and shape attitudes and behavior, and 4. comprehensive reward systems that use recognition and approval. Managers who want to develop a strong culture in their organizations should: 1. identify the strategic objectives of the organization and specify how they are to be accomplished, 2. analyze the existing values and norms that characterize the group, 3. look for norms that may hinder the achievement of the organization's objectives, and 4. design programs that will begin to shape or develop the desired norms.",1989,2/8/2016 4:02,9,,4,31,,,"Corporations, Culture, and Commitment",,,,,,,English,"Copyright University of California, Walter A. Haas School of Business Summer 1989",,,,ProQuest,,,,,,,,,,,,,,,,
CZTJGCAI,journalArticle,2012,"Cui, Geng; Wong, Man Leung; Wan, Xiang",Cost-Sensitive Learning via Priority Sampling to Improve the Return on Marketing and CRM Investment,Journal of Management Information Systems,,,,,,2012,,341-374,,1,29,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QRVV75TQ,journalArticle,2013,"Petter, S.; Ward, K.",Countdown to Y2Gray,IT Professional,,1520-9202,10.1109/MITP.2012.86,,"A large number of IT employees will soon be leaving the workforce due to retirement, which presents a serious problem for many IT departments. This problem is of greater concern in organizations and industries with complex business practices, legacy systems, or greater proportions of older workers. These organizations are vulnerable to a phenomenon called Y2Gray. This article explores Y2Gray by explaining the problem, identifying organizations at risk, and presenting recommendations to address this problem. The authors share their findings from interviews with two firms that are coping with Y2Gray.",2013-11,,49-55,,6,15,,,,,,,,,,,,,,,IEEE Xplore,,,,,,,,,,,,,,,,
IJC58AAP,journalArticle,2012,"Petter, Stacy; Ward, Kerry",Countdown to Y2Gray,IT Professional,,1520-9202,10.1109/MITP.2012.86,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=6253194,"A large number of IT employees will soon be leaving the workforce due to retirement, which presents a serious problem for many IT departments. This problem is of greater concern in organizations and industries with complex business practices, legacy systems, or greater proportions of older workers. These organizations are vulnerable to a phenomenon called Y2Gray. This article explores Y2Gray by explaining the problem, identifying organizations at risk, and presenting recommendations to address this problem. The authors share their findings from interviews with two firms that are coping with Y2Gray.",7/30/2012,,49 - 55,,Issue: 6,Volume:15,,IEEE,Countdown to Y2Gray,It Workforce,,,,,,English,,,,,,,,,,,,,,,,,,,,,
S75465IC,journalArticle,2003,"Lee, Yang W",Crafting Rules: Context-Reflective Data Quality Problem Solving,Journal of Management Information Systems,,,,,,2003,,93-119,,3,20,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6PFHVMRI,journalArticle,2014,"Bittner, Eva Alice Christiane; Leimeister, Jan Marco",Creating Shared Understanding in Heterogeneous Work Groups: Why It Matters and How to Achieve It,Journal of Management Information Systems,,,,,,2014,,111-144,,1,31,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFSA7XKQ,journalArticle,2013,"Jensen, Matthew L; Averbeck, Joshua M; Zhang, Zhu; Wright, Kevin B",Credibility of Anonymous Online Product Reviews: A Language Expectancy Perspective,Journal of Management Information Systems,,,,,,2013,,293-324,,1,30,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM2RWWPT,journalArticle,2001,"Ihlsoon, C H O; Young-Gul, K I M",Critical Factors for Assimilation of Object-Oriented Programming Languages,Journal of Management Information Systems,,,,,,2001,,125-156,,3,18,,Journal of Management Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37GV83Q7,journalArticle,2004,"Hwang, Hsin-Ginn; Ku, Cheng-Yuan; Yen, David C.; Cheng, Chi-Chung",Critical factors influencing the adoption of data warehouse technology: a study of the banking industry in Taiwan,Decision Support Systems,,,,http://www.sciencedirect.com/science/article/pii/S0167923602001914,,2004,4/14/2016 0:40,1�21,,1,37,,,Critical factors influencing the adoption of data warehouse technology,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,
GGSZFRMB,journalArticle,2013,"Volkoff, Olga; Strong, Diane M.",Critical Realism and Affordances: Theorizing It-Associated Organizational Change Processes,MIS Quarterly,,2767783,,http://ezproxy.baylor.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=cph&AN=89477779&site=ehost-live&scope=site,"Convincing arguments for using critical realism as an underpinning for theories of IT-associated organizational change have appeared in the Information Systems literature. A central task in developing such theories is to uncover the generative mechanisms by which IT is implicated in organizational change processes, but to do so, we must explain how critical realism's concept of generative mechanisms applies in an IS context. Similarly, convincing arguments have been made for using Gibson's (1986) affordance theory from ecological psychology for developing theories of IT-associated organizational change, but this effort has been hampered due to insufficient attention to the ontological status of affordances. In this paper, we argue that affordances are the generative mechanisms we need to specify and explain how affordances are a specific type of generative mechanism. We use the core principles of critical realism to argue how affordances arise in the real domain from the relation between the complex assemblages of organizations and of IT artifacts, how affordances are actualized over time by organizational actors, and how these actualizations lead to the various effects we observe in the empirical domain. After presenting these arguments, we reanalyze two published cases in the literature, those of ACRO and Autoworks, to illustrate how affordance-based theories informed by critical realism enhance our ability to explain IT-associated organizational change. These examples show how researchers using this approach should proceed, and how managers can use these ideas to diagnose and address IT implementation problems.",2013-09,2/21/2016 18:48,819-834,,3,37,,MIS Quarterly,Critical Realism and Affordances,,,,,,,,,,,,EBSCOhost,,,,,,,,,,,,,,,,
6R8G2NBA,journalArticle,2006,"Kvasny, Lynette",Cultural (Re)production of digital inequality in a US community technology initiative,"Information, Communication & Society",,1369-118X,10.1080/13691180600630740,http://dx.doi.org/10.1080/13691180600630740,"In the US, community technology centers (CTC) are a policy response to facilitate the diffusion of information and communication technologies (ICT) to citizens who might otherwise lack access to these resources. The implicit assumption guiding CTC initiatives is that access to ICT will improve the life chances of the individuals who become involved in these centers. It is, however, prudent to empirically examine this assumption because the case for community technology interventions is somewhat weakened if the benefits of ICT use fail to accrue to those who are disadvantaged. Informed by Bourdieu's theory of reproduction, this study of a CTC initiative in an inner-city community explores the role of culture in reproducing digital inequality. Digital inequality reflects not only disparities in the structure of access to and use of ICT; it also reflects the ways in which longstanding social inequities shape beliefs and expectations regarding ICT and its impacts on life chances. While this initiative is considered successful in the sense that it provided access and basic computer literacy to residents lacking these resources, it represents a technology-centric fix to a problem that is deeply rooted in systemic patterns of spatial, political and economic disadvantage.",4/1/2006,2/18/2016 22:56,160-181,,2,9,,,,,,,,,,,,,,,Taylor and Francis+NEJM,,,,,,,,,,,,,,,,
ZZIKHMKN,journalArticle,1994,"Robey, Daniel; Azevedo, Ana",Cultural analysis of the organizational consequences of information technology,"Accounting, Management and Information Technologies",,,,http://www.sciencedirect.com/science/article/pii/0959802294900116,,1994,7/13/2016 5:27,23�37,,1,4,,,,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,
